17/8/2013
18/1/2014,Arsenal,Fulham
18/1/2014,Chelsea,Manchester United
18/1/2014,Crystal Palace,Stoke City
18/1/2014,Liverpool,Aston Villa
18/1/2014,Manchester City,Cardiff City
18/1/2014,Norwich City,Hull City
18/1/2014,Sunderland,Southampton
18/1/2014,Swansea City,Tottenham Hotspur
18/1/2014,West Bromwich Albion,Everton
18/1/2014,West Ham United,Newcastle United
28/1/2014
28/1/2014,Aston Villa,West Bromwich Albion
28/1/2014,Crystal Palace,Hull City
28/1/2014,Liverpool,Everton
28/1/2014,Manchester United,Cardiff City
28/1/2014,Norwich City,Newcastle United
28/1/2014,Southampton,Arsenal
28/1/2014,Sunderland,Stoke City
28/1/2014,Swansea City,Fulham
29/1/2014
29/1/2014,Chelsea,West Ham United
29/1/2014,Tottenham Hotspur,Manchester City
1/2/2014
1/2/2014,Arsenal,Crystal Palace
1/2/2014,Cardiff City,Norwich City
1/2/2014,Everton,Aston Villa
1/2/2014,Fulham,Southampton
1/2/2014,Hull City,Tottenham Hotspur
1/2/2014,Manchester City,Chelsea
1/2/2014,Newcastle United,Sunderland
1/2/2014,Stoke City,Manchester United
1/2/2014,West Bromwich Albion,Liverpool
1/2/2014,West Ham United,Swansea City
8/2/2014
8/2/2014,Aston Villa,West Ham United
8/2/2014,Chelsea,Newcastle United
8/2/2014,Crystal Palace,West Bromwich Albion
8/2/2014,Liverpool,Arsenal
8/2/2014,Manchester United,Fulham
8/2/2014,Norwich City,Manchester City
8/2/2014,Southampton,Stoke City
8/2/2014,Sunderland,Hull City
8/2/2014,Swansea City,Cardiff City
8/2/2014,Tottenham Hotspur,Everton
11/2/2014
11/2/2014,Arsenal,Manchester United
11/2/2014,Cardiff City,Aston Villa
11/2/2014,Hull City,Southampton
11/2/2014,Stoke City,Swansea City
11/2/2014,West Bromwich Albion,Chelsea
11/2/2014,West Ham United,Norwich City
12/2/2014
12/2/2014,Everton,Crystal Palace
12/2/2014,Fulham,Liverpool
12/2/2014,Manchester City,Sunderland
12/2/2014,Newcastle United,Tottenham Hotspur
22/2/2014
22/2/2014,Arsenal,Sunderland
22/2/2014,Cardiff City,Hull City
22/2/2014,Chelsea,Everton
22/2/2014,Crystal Palace,Manchester United
22/2/2014,Liverpool,Swansea City
22/2/2014,Manchester City,Stoke City
22/2/2014,Newcastle United,Aston Villa
22/2/2014,Norwich City,Tottenham Hotspur
22/2/2014,West Bromwich Albion,Fulham
22/2/2014,West Ham United,Southampton
1/3/2014
1/3/2014,Aston Villa,Norwich City
1/3/2014,Everton,West Ham United
1/3/2014,Fulham,Chelsea
1/3/2014,Hull City,Newcastle United
1/3/2014,Manchester United,Manchester City
1/3/2014,Southampton,Liverpool
1/3/2014,Stoke City,Arsenal
1/3/2014,Sunderland,West Bromwich Albion
1/3/2014,Swansea City,Crystal Palace
1/3/2014,Tottenham Hotspur,Cardiff City
8/3/2014
8/3/2014,Arsenal,Swansea City
8/3/2014,Cardiff City,Fulham
8/3/2014,Chelsea,Tottenham Hotspur
8/3/2014,Crystal Palace,Southampton
8/3/2014,Liverpool,Sunderland
8/3/2014,Manchester City,Aston Villa
8/3/2014,Newcastle United,Everton
8/3/2014,Norwich City,Stoke City
8/3/2014,West Bromwich Albion,Manchester United
8/3/2014,West Ham United,Hull City
15/3/2014
15/3/2014,Aston Villa,Chelsea
15/3/2014,Everton,Cardiff City
15/3/2014,Fulham,Newcastle United
15/3/2014,Hull City,Manchester City
15/3/2014,Manchester United,Liverpool
15/3/2014,Southampton,Norwich City
15/3/2014,Stoke City,West Ham United
15/3/2014,Sunderland,Crystal Palace
15/3/2014,Swansea City,West Bromwich Albion
15/3/2014,Tottenham Hotspur,Arsenal
22/3/2014
22/3/2014,Aston Villa,Stoke City
22/3/2014,Cardiff City,Liverpool
22/3/2014,Chelsea,Arsenal
22/3/2014,Everton,Swansea City
22/3/2014,Hull City,West Bromwich Albion
22/3/2014,Manchester City,Fulham
22/3/2014,Newcastle United,Crystal Palace
22/3/2014,Norwich City,Sunderland
22/3/2014,Tottenham Hotspur,Southampton
22/3/2014,West Ham United,Manchester United
29/3/2014
29/3/2014,Arsenal,Manchester City
29/3/2014,Crystal Palace,Chelsea
29/3/2014,Fulham,Everton
29/3/2014,Liverpool,Tottenham Hotspur
29/3/2014,Manchester United,Aston Villa
29/3/2014,Southampton,Newcastle United
29/3/2014,Stoke City,Hull City
29/3/2014,Sunderland,West Ham United
29/3/2014,Swansea City,Norwich City
29/3/2014,West Bromwich Albion,Cardiff City
5/4/2014
5/4/2014,Aston Villa,Fulham
5/4/2014,Cardiff City,Crystal Palace
5/4/2014,Chelsea,Stoke City
5/4/2014,Everton,Arsenal
5/4/2014,Hull City,Swansea City
5/4/2014,Manchester City,Southampton
5/4/2014,Newcastle United,Manchester United
5/4/2014,Norwich City,West Bromwich Albion
5/4/2014,Tottenham Hotspur,Sunderland
5/4/2014,West Ham United,Liverpool
12/4/2014
12/4/2014,Arsenal,West Ham United
12/4/2014,Crystal Palace,Aston Villa
12/4/2014,Fulham,Norwich City
12/4/2014,Liverpool,Manchester City
12/4/2014,Manchester United,Hull City
12/4/2014,Southampton,Cardiff City
12/4/2014,Stoke City,Newcastle United
12/4/2014,Sunderland,Everton
12/4/2014,Swansea City,Chelsea
12/4/2014,West Bromwich Albion,Tottenham Hotspur
19/4/2014
19/4/2014,Aston Villa,Southampton
19/4/2014,Cardiff City,Stoke City
19/4/2014,Chelsea,Sunderland
19/4/2014,Everton,Manchester United
19/4/2014,Hull City,Arsenal
19/4/2014,Manchester City,West Bromwich Albion
19/4/2014,Newcastle United,Swansea City
19/4/2014,Norwich City,Liverpool
19/4/2014,Tottenham Hotspur,Fulham
19/4/2014,West Ham United,Crystal Palace
26/4/2014
26/4/2014,Arsenal,Newcastle United
26/4/2014,Crystal Palace,Manchester City
26/4/2014,Fulham,Hull City
26/4/2014,Liverpool,Chelsea
26/4/2014,Manchester United,Norwich City
26/4/2014,Southampton,Everton
26/4/2014,Stoke City,Tottenham Hotspur
26/4/2014,Sunderland,Cardiff City
26/4/2014,Swansea City,Aston Villa
26/4/2014,West Bromwich Albion,West Ham United
3/5/2014
3/5/2014,Arsenal,West Bromwich Albion
3/5/2014,Aston Villa,Hull City
3/5/2014,Chelsea,Norwich City
3/5/2014,Crystal Palace,Liverpool
3/5/2014,Everton,Manchester City
3/5/2014,Manchester United,Sunderland
3/5/2014,Newcastle United,Cardiff City
3/5/2014,Stoke City,Fulham
3/5/2014,Swansea City,Southampton
3/5/2014,West Ham United,Tottenham Hotspur
11/5/2014
11/5/2014,Cardiff City,Chelsea
11/5/2014,Fulham,Crystal Palace
11/5/2014,Hull City,Everton
11/5/2014,Liverpool,Newcastle United
11/5/2014,Manchester City,West Ham United
11/5/2014,Norwich City,Arsenal
11/5/2014,Southampton,Manchester United
11/5/2014,Sunderland,Swansea City
11/5/2014,Tottenham Hotspur,Aston Villa
11/5/2014,West Bromwich Albion,Stoke City
